Cannon1,Cannon,1,100
Cannon2,Cannon,2,199
Cannon3,Cannon,3,297
Cannon4,Cannon,4,394
Cannon5,Cannon,5,490
Cannon6,Cannon,6,585
Cannon7,Cannon,7,679
Cannon8,Cannon,8,772
Cannon9,Cannon,9,864
Cannon10,Cannon,10,955
Cannon11,Cannon,11,1045
Cannon12,Cannon,12,1134
Cannon13,Cannon,13,1222
Cannon14,Cannon,14,1309
ArcherTower1,ArcherTower,1,100
ArcherTower2,ArcherTower,2,199
ArcherTower3,ArcherTower,3,297
ArcherTower4,ArcherTower,4,394
ArcherTower5,ArcherTower,5,490
ArcherTower6,ArcherTower,6,585
ArcherTower7,ArcherTower,7,679
ArcherTower8,ArcherTower,8,772
ArcherTower9,ArcherTower,9,864
ArcherTower10,ArcherTower,10,955
ArcherTower11,ArcherTower,11,1045
ArcherTower12,ArcherTower,12,1134
ArcherTower13,ArcherTower,13,1222
WizardTower1,WizardTower,1,450
WizardTower2,WizardTower,2,870
WizardTower3,WizardTower,3,1260
WizardTower4,WizardTower,4,1620
WizardTower5,WizardTower,5,1950
WizardTower6,WizardTower,6,2240
WizardTower7,WizardTower,7,2490
WizardTower8,WizardTower,8,2710
WizardTower9,WizardTower,9,2910
AirDefense1,AirDefense,1,50
AirDefense2,AirDefense,2,100
AirDefense3,AirDefense,3,150
AirDefense4,AirDefense,4,200
AirDefense5,AirDefense,5,250
AirDefense6,AirDefense,6,300
AirDefense7,AirDefense,7,350
AirDefense8,AirDefense,8,400
Mortar1,Mortar,1,450
Mortar2,Mortar,2,890
Mortar3,Mortar,3,1320
Mortar4,Mortar,4,1740
Mortar5,Mortar,5,2150
Mortar6,Mortar,6,2550
Mortar7,Mortar,7,2940
Mortar8,Mortar,8,3320
Mortar9,Mortar,9,3690
Tesla1,Tesla,1,100
Tesla2,Tesla,2,200
Tesla3,Tesla,3,300
Tesla4,Tesla,4,400
Tesla5,Tesla,5,500
Tesla6,Tesla,6,600
Tesla7,Tesla,7,700
Tesla8,Tesla,8,800
Xbow1,Xbow,1,350
Xbow2,Xbow,2,675
Xbow3,Xbow,3,975
Xbow4,Xbow,4,1275
Inferno1,Inferno,1,2950
Inferno2,Inferno,2,5550
Inferno3,Inferno,3,7900
Inferno4,Inferno,4,10100
AirSweeper1,AirSweeper,1,20
AirSweeper2,AirSweeper,2,40
AirSweeper3,AirSweeper,3,60
AirSweeper4,AirSweeper,4,80
AirSweeper5,AirSweeper,5,100
AirSweeper6,AirSweeper,6,120
AncientArtillery1,AncientArtillery,1,5200
AncientArtillery2,AncientArtillery,2,9950
BarbarianKing1,BarbarianKing,1,23
BarbarianKing2,BarbarianKing,2,46
BarbarianKing3,BarbarianKing,3,69
BarbarianKing4,BarbarianKing,4,92
BarbarianKing5,BarbarianKing,5,117
BarbarianKing6,BarbarianKing,6,142
BarbarianKing7,BarbarianKing,7,167
BarbarianKing8,BarbarianKing,8,192
BarbarianKing9,BarbarianKing,9,217
BarbarianKing10,BarbarianKing,10,244
BarbarianKing11,BarbarianKing,11,271
BarbarianKing12,BarbarianKing,12,298
BarbarianKing13,BarbarianKing,13,325
BarbarianKing14,BarbarianKing,14,352
BarbarianKing15,BarbarianKing,15,381
BarbarianKing16,BarbarianKing,16,410
BarbarianKing17,BarbarianKing,17,439
BarbarianKing18,BarbarianKing,18,468
BarbarianKing19,BarbarianKing,19,497
BarbarianKing20,BarbarianKing,20,528
BarbarianKing21,BarbarianKing,21,559
BarbarianKing22,BarbarianKing,22,590
BarbarianKing23,BarbarianKing,23,621
BarbarianKing24,BarbarianKing,24,652
BarbarianKing25,BarbarianKing,25,685
BarbarianKing26,BarbarianKing,26,718
BarbarianKing27,BarbarianKing,27,751
BarbarianKing28,BarbarianKing,28,784
BarbarianKing29,BarbarianKing,29,817
BarbarianKing30,BarbarianKing,30,852
